"job_user_id","job_title","job_slug","job_roles","job_source","job_company","job_address","job_image","job_description","job_type","job_salary_min","job_salary_max"
"","","","","","","","","","","",""
"","UX Engineer","UX Engineer","UX Engineer","https://www.kalibrr.id/c/pintap/jobs/171954/ux-engineer?source=job-board-1-1-15-1588&similar_job_code=1","Pintap","Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/PBXWY8GHZ59HRCUNXKUYA78UYB24PSWGRAD2ZLSP-6065adbd.png","Job Description
Description:
About your responsibilities for the Role
Convert design and develop highly scalable, cross-platform, and high-performance web applications UI and interaction using React.
Perform issue analysis, root-cause analysis, and issue resolution.
Write and manage technical documentation.
Minimum Qualifications
Requirements:
What you need to have (Minimum Qualifications)
2+ years of active software development.
Strong proficiency in HTML5, CSS3 and Typescript.
Outstanding skills in web styling, animation and React.
Strong aesthetic and understanding of user-friendly experience & interface, and pay attention to details.
Highly experienced in responsive web and PWA.
Extensive knowledge in unit testing.
Ability to effectively communicate problems and solutions to the different team members.
Good cross-team collaboration and communication skills.
Willingness to learn and adapt to different technologies.
Preferred:
What would make you stand out from the crowd (Preferred Qualifications)
Experience in developing Magento Storefront.
Experience in developing SaaS.
Experienced in Agile/Scrum development.
Able to perform benchmarking and monitoring.
Perks and Benefits
Paid Sick Leave
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sentral Senayan I, 8, Jalan Asia Afrika, Jakarta 10270, Indonesia
Vacancy
1 opening
Website
https://karir.pintap.id/#job","Full time","6,000,000","15,000,000"
"","QA Engineer","QA Engineer","QA Engineer","https://www.kalibrr.id/c/pintap/jobs/171953/qa-engineer?source=job-board-1-2-15-1588&similar_job_code=0","Pintap","Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/PBXWY8GHZ59HRCUNXKUYA78UYB24PSWGRAD2ZLSP-6065adbd.png","Job Description
Description:
About your responsibilities for the Role
Review requirements, specifications, and technical design documents to create clear, concise, comprehensive, and well-structured test plans and test cases.
Manage and execute test cases.
Identify, record, document, report, and track defects.
Creating and tracking quality assurance metrics iteratively in an agile development process.
Design, develop and execute automation if needed.
Working collaboratively with the product and engineering team.
Minimum Qualifications
Requirements:
What you need to have (Minimum Qualifications)
2+ years of active software QA experience.
Strong knowledge of software QA methodologies, tools, and processes.
Proven ability in writing clear, concise, comprehensive, and well-structured test plans and test cases.
Extensive knowledge of RESTful and GraphQL.
Extensive knowledge of SQL and NoSQL database.
Experience in API Testing with Postman.
Ability to effectively communicate issues to the product and engineering team members.
Willingness to learn and adapt to different tools and technologies.
Preferred:
What would make you stand out from the crowd (Preferred Qualifications)
Experience in automation testing using open source tools such as Selenium or Cypress.
Able to perform performance testing and monitoring.
Understanding of CI/CD.
Experienced in Agile/Scrum development.
Perks and Benefits
Paid Sick Leave
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sentral Senayan I, 8, Jalan Asia Afrika, Jakarta 10270, Indonesia
Vacancy
1 opening
Website
https://karir.pintap.id/#job","Full time","6,000,000","15,000,000"
"","Backend Engineer","Backend Engineer","Backend Engineer","https://www.kalibrr.id/c/pintap/jobs/171951/backend-engineer?source=job-board-1-3-15-1588&similar_job_code=0","Pintap","Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/PBXWY8GHZ59HRCUNXKUYA78UYB24PSWGRAD2ZLSP-6065adbd.png","Job Description
Description:
About your responsibilities for the Role
Deeply engaged in the full development lifecycle including designing, developing, testing, deploying, maintaining, monitoring, and improving backend services and APIs.
Apply design patterns and design principles to produce maintainable and easy to extend code.
Write and manage technical documentation.
Minimum Qualifications
Requirements:
What you need to have (Minimum Qualifications)
2+ years active software development experience.
Proficient in Git (GitHub/GitLab).
Excellent coding skill in Javascript and Typescript.
Solid experience in building backend services and APIs in Node.JS.
Solid understanding of SQL and the performance costs associated with queries.
Experienced in different databases. Relational (PostgreSQL/MySQL) or NoSQL (Elasticsearch, MongoDB/DynamoDB).
Have experience/exposure to cloud services (AWS/GCP).
Ability to effectively communicate problems and solutions to the different team members.
Firm grasp in object-oriented, functional, or event-driven programming practices.
Good cross-team collaboration and communication skills.
Willingness to learn and adapt to different technologies.
Preferred:
What would make you stand out from the crowd (Preferred Qualifications)
Understanding of CI/CD.
Experienced in Agile/Scrum development.
Experienced in using IaC (CloudFormation, Terraform).
Experienced in using Serverless Technologies (Lambda, Fargate, CloudFunction)
Experienced with common data storage design patterns (Cache, Persistent Storage, Hot-and-Cold Storage).
Understanding of common system engineering design principles, ex: load balancing patterns, computer networking, and is aware of basic security.
Understanding of Dependency Injection (DI).
Able to do performance benchmarking and monitoring.
Perks and Benefits
Paid Sick Leave
Work from Home
Jobs Summary
Job level
Mid-Senior Level / Manager
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sentral Senayan Ii, 8, Jalan Asia Afrika, Jakarta 10270, Indonesia
Vacancy
2 openings
Website
https://karir.pintap.id/#job","Full time","9,000,000","30,000,000"
"","Selenium Specialist","Selenium Specialist","Selenium Specialist","https://www.kalibrr.id/c/pt-mindo-small-business-solution/jobs/174630/selenium-specialist?source=job-board-1-4-15-1588&similar_job_code=0","PT. Mindo Small Business Solution","Yogyakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/WVKJAYSA45QAE2X4KXB4884884RX63BVDXXFEMSU-5fc5d34e.png","Job Description
Provide operation helpdesk service
Operate, validate & troubleshoot data quality issues
Research, interpret & analyze patterns and trends in large data sets
Create automation scripts for research & analysis purposes.
Present findings and deliver potential business & product improvements
Minimum Qualifications
We are currently looking for Selenium Specialist Staff for our Yogyakarta office. As part of Mindo's Property Operations & Enhancement team, you will be responsible for operating, validating and analyzing data for our American clients and above all working to deliver professional and great service to a growing website.
Requirements:
Strong verbal and written English skill (will work in English language environment)
Strong proactivity, problem-solving, analytical & critical thinking
Ability to translate business needs into product requirements
Ability to work under pressure and fast-paced working environment
Strong Selenium skill is a must
Comprehending SQL, API, Python, Google Application is required.
Having experience in internet research & big data analysis job is a plus
Applicants must be willing to work in Yogyakarta
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Wirogunan Kel., Mergangsan
Vacancy
1 opening
Website
https://mindosolutions.com/","Full time","2,500,000","5,000,000"
"","Lead Test Engineer","Lead Test Engineer","Lead Test Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/171553/lead-test-engineer?source=job-board-1-5-15-1588&similar_job_code=0","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","","","",""
"","UX Engineer","UX Engineer","UX Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/172753/ux-engineer?source=job-board-1-6-15-1588&similar_job_code=0","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Design, develop and build highly scalable, cross-platform, and performant web and mobile applications UI and interaction.
Perform issue analysis, root-cause analysis, and issue resolution
Create any required technical documentation
Minimum Qualifications
Requirements:
Strong proficiency with HTML5, CSS3, Javascript and/ or Typescript
Outstanding skills in web styling, react-native styling, and animation
Strong aesthetic, understanding of user-friendly experience/interface, and high attention to details
Extensive knowledge in Android and iOS development
Experience in using Git
Preferred:
Experience in UI or Graphic Design
Highly experienced in react-native spring or lottie
Extensive knowledge in other programming languages like Java/Kotlin, Swift and C#
Experience in a formal development methodology - Agile/ SCRUM, Iterate, Waterfall
Familiarity with Visual Studio Code as IDE
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Paid Sick Leave
Transportation Allowances
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jl. Jend. Sudirman Kav.86
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","6,000,000","15,000,000"
"","Software Quaility Assurance (QA) Internship","Software Quaility Assurance (QA) Internship","Software Quaility Assurance (QA) Internship","https://www.kalibrr.id/c/pricebook-co-ltd/jobs/164680/software-quaility-assurance-qa-internship?source=job-board-1-7-15-1588&similar_job_code=1","PT Pricebook Digital Indonesia","South Jakarta, Indonesia","https://rec-data.kalibrr.com/logos/ECF6JN9LP9DG9Q67SUFFXC24EPK4VFWBMWRFRGDQ-5c47f75d.png","Job Description
Create detailed, comprehensive, and well-structured test plans and test cases
Estimate, prioritize, plan and coordinate testing activities
Perform thorough testing
Oversee bug reporting, tracking, and communication with the team
Ability to analyze failures and able to find the root cause and follow-up with the development team
Minimum Qualifications
Good personality and can work together as a team
Candidate must be enrolled in Bachelor of Computer / Informatics Engineering / Informatics System (final year)
Self-learning, discipline, creativity, good analysis skill, teamwork, and able to work under pressure
Perks and Benefits
Flexitime
Work from Home
Jobs Summary
Job level
Internship / OJT
Job category
IT and Software
Educational requirement
Graduated from high school
Recruiter response to application
Always
Office Address
Jalan Sungai Sambas 1 No. 108B, Kramat Pela, Kebayoran Baru, Jakarta Selatan - 12130
Vacancy
1 opening
Website
https://www.pricebook.co.id/","Freelance","1,000,000",""
"","UI/UX Designer","UI/UX Designer","UI/UX Designer","https://www.kalibrr.id/c/pintap/jobs/172119/ui-ux-designer?source=job-board-1-8-15-1588&similar_job_code=1","Pintap","Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/PBXWY8GHZ59HRCUNXKUYA78UYB24PSWGRAD2ZLSP-6065adbd.png","Job Description
Description:
About your responsibilities for the Role
Conduct user-experience research and actively collaborating with product managers to generate creative solutions.
Produce low fidelity (Diagram, wireframe, etc) and high fidelity (high-quality UI) prototypes throughout the entire design process.
Create any design materials needed for the product and actively collaborate with the engineering team.
Write and manage technical documentation.
Minimum Qualifications
Requirements:
What you need to have (Minimum Qualifications)
2+ years of end-to-end UI/UX design in software/web technologies.
String aesthetic, conceptual, and design communication skills.
Highly skilled in visual design including UI, Icon, Illustration, and Prototyping across different platforms.
Proficient with design and prototyping software such as Sketch, XD, Figma, or Framer.
Extensive knowledge in user-experience research.
Ability to effectively communicate problems and solutions to the different team members.
Good cross-team collaboration and communication skills.
Willingness to learn and adapt to different technologies.
Preferred:
What would make you stand out from the crowd (Preferred Qualifications)
Experience in designing Magento Storefront.
Experience in designing SaaS.
Experienced in Agile/Scrum development.
Able to conduct usability testing.
Perks and Benefits
Paid Sick Leave
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sentral Senayan Ii, 8, Jalan Asia Afrika, Jakarta 10270, Indonesia
Vacancy
1 opening
Website
https://karir.pintap.id/#job","Full time","10,000,000","17,000,000"
"","Full Stack Developer","Full Stack Developer","Full Stack Developer","https://www.kalibrr.id/c/cicilsewa/jobs/166956/full-stack-developer?source=job-board-1-9-15-1588&similar_job_code=0","CicilSewa","South Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/JKN4JMWRGU99NN6BUQVHZFK4D86WR6EFJU5MXMRL-6035dfb7.png","Job Description
Work with development teams and product managers to ideate software solutions.
Design client-side and server-side architecture.
Build the front-end of applications through appealing visual design.
Develop and manage well-functioning databases and applications.
Test software to ensure responsiveness and efficiency.
Troubleshoot, debug, and upgrade software.
Create security and data protection settings.
Build features and applications with a mobile responsive design.
Write Technical Documentation
Minimum Qualifications
Proven experience as a Full Stack Developer or similar role.
Experience in developing full-stack REST-ful web and mobile applications.
Knowledge of front-end languages is required (e.g. HTML/CSS, JavaScript).
Knowledge of front-end frameworks is preferred (React.js, Vue.js, Angular.js).
Knowledge of multiple back-end languages (e.g. PHP, Python, C++).
Knowledge of back-end frameworks is preferred (e.g. Laravel, Node.js, Django, Flask).
Familiarity with databases (SQL & NoSQL), web servers (NGINX, supervisor/hypervisors), and CI/CD tools are preferred.
Basic UI/UX knowledge and ability to design user-oriented features.
Excellent Communication and Teamwork Skills
Great Attention to Detail
Organizational Skills
An Analytical Mind
Degree in Computer Science, or relevant field.
Perks and Benefits
Employee Discounts
Flexitime
Maternity & Paternity Leave
Medical / Health Insurance
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Jl. Bangka XI, Mampang Prapatan, Jakarta Selatan
Vacancy
1 opening
Website
https://cicilsewa.id/","Full time","5,000,000","10,000,000"
"","Cloud Engineer","Cloud Engineer","Cloud Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/176228/cloud-engineer-2?source=job-board-1-10-15-1588&similar_job_code=0","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Provision, Configure and Maintaining Infrastructure on Cloud Services.
Design & Implement Monitoring tools for System, Application and Infrastructure.
Design & Implement Backup and Recovery of Infrastructure, Database and System.
Responding to incidents, problems and planning for growth.
Design & Build CI/CD pipeline for software deployment.
Infrastructure Design & Technical Documentation.
Domain name & SSL Certificate Management.
Minimum Qualifications
What you need to have (Minimum Qualifications)
Excellent knowledge of Cloud Services such as AWS, GCP, Azure and Alibaba Cloud.
Excellent knowledge of automation IaC such as Ansible, CloudFormation, Terraform, Shell Scripting.
Excellent knowledge in Linux, Windows and Mac platforms.
Excellent knowledge in using NGINX.
Excellent knowledge in administration of different databases. Relational such as PostgreSQL, MySQL, MariaDB or NoSQL such as Elasticsearch, MongoDB, DynamoDB.
Excellent knowledge in network and cloud security.
Excellent knowledge of CI/CD tools such as AWS Codepipeline, Gitlab CI, Jenkins, Azure DevOps.
Experience in monitoring and logging such as Grafana, ELK, Splunk, Zabbix, Prometheus, Fluentd.
Experience in configuration management such as Ansible, Chef, Puppet.
Experience in using Docker, Kubernetes.
Experience in using Git.
Able to work as part of a team or alone.
Can efficiently organize and prioritize tasks.
Can confidently identify and solve technical problems unaided and in a timely fashion.
Required language(s): English
Preferred:
What would make you stand out from the crowd (Preferred Qualifications)
Knowledge of cybersecurity.
Experienced in infrastructure and security assessment.
Experience in system and server migration.
Perks and Benefits
Performance Bonus
Transportation Allowances
Work from Home
Other
WFH Allowance
BPJS Kesehatan
BPJS TK
Medical Reimbursement
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Karet Tengsin Kel., Tanah Abang
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","10,000,000","20,000,000"
"","Data Engineer","Data Engineer","Data Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/176230/data-engineer?source=job-board-1-11-15-1588&similar_job_code=0","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.
Build the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.
Develop and maintain optimal data pipeline architecture for training statistical and machine learning models such as regression and classification.
Develop and maintain evaluations to measure the effectiveness of training data. This includes measuring the capabilities of models on a variety of tasks and domains.
Collaborate with data scientists and machine learning engineers to develop a comprehensive data science/machine learning solution pipeline.
Minimum Qualifications
What you need to have (Minimum Qualifications):
Bachelor's degree from computer science or related fields, or equivalent software engineering experience.
Proficiency in Python programming language
Experience in dataset processing and feature engineering using tools such as Numpy, Pandas, and Scikit-Learn
Visualization skills using tools such as Matplotlib, Seaborn, and Bokeh
Understanding of deep learning frameworks such as Pytorch and TensorFlow
Understanding of SQL and NoSQL
Understands Hadoop / Spark / Kafka / Hive / Presto
Proficiency in source control i.e. Git
Preferred:
What would make you stand out from the crowd (Preferred Qualifications):
Deep understanding of Object-Oriented Programming (OOP) concepts such as inheritance, delegation, and abstract class
Understanding of cloud-native technologies such as AWS, GCP, and Azure
Experience in using Docker
Experience in using AWS services such as S3, EC2, Glue, Sagemaker
Experience in AWS Step Function and/or AWS Lambda is even better
Proficiency in Scala and Java programming languages
Enjoy iterating quickly with research prototypes and learning new technologies
Perks and Benefits
Performance Bonus
Transportation Allowances
Work from Home
Other
WFH Allowance
BPJS Kesehatan
BPJS Ketenagakerjaan
Medical Reimbursement
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Karet Tengsin Kel., Tanah Abang
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","10,000,000","20,000,000"
"","Android Developer","Android Developer","Android Developer","https://www.kalibrr.id/c/wirecard/jobs/167719/android-developer?source=job-board-1-12-15-1588&similar_job_code=0","PT. Prima Vista Solusi","South Jakarta City, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/G8AWXEMNCRNU7CCV5BGR6ZU47ZPM6LWT7X9YERCU-5fcf1b78.png","Job Description
Develop and test software applications.
Install, customize and maintain operating systems software including installing and testing new releases.
Minimum Qualifications
Bachelor Degree in Information Technology/related from reputable university with GPA > 3.00.
Proficiency at least one of following programming language: C++/C, Java, C#, ASP in Android
Working knowledge of at least one of the following: SQL, MySQL, Oracle.
Fresh graduates are welcome to apply.
Perks and Benefits
Medical / Health Insurance
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Menara Mulia, Karet Semanggi, South Jakarta City, Jakarta, Indonesia
Vacancy
1 opening
Website
http://www.primavista-solusi.com","Full time","6,000,000","7,000,000"
"","Frontend Engineer","Frontend Engineer","Frontend Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/165772/frontend-engineer?source=job-board-1-13-15-1588&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Design, develop and build highly scalable, cross-platform, and high-performance web/mobile applications using React and React-Native.
Apply design patterns and design principles to produce maintainable and easy to extend code.
Perform issue analysis, root-cause analysis, and issue resolution.
Write and manage technical documentation.
Minimum Qualifications
Strong proficiency in Typescript.
Outstanding skills in React and React Native
Strong understanding of user-friendly experience & interface, pay attention to details, and proficiency in HTML5, CSS3, React Native styling, and animation.
Experience in responsive web and PWA.
Extensive knowledge in using RESTful and GraphQL.
Experience working with Redux, Redux-Saga, Redux-Thunk, or MobX.
Have experience/exposure to cloud services (AWS/GCP).
Extensive knowledge in unit testing.
Ability to effectively communicate problems and solutions to the different team members.
Firm grasp in object-oriented, functional, or event-driven programming practices.
Good cross-team collaboration and communication skills.
Willingness to learn and adapt to different technologies.
Preferred:
Experience in Native Modules development with Java/ Kotlin or Swift.
Understands web and mobile applications profiling and able to improve the performance of components.
Experienced in Agile/Scrum development.
Perks and Benefits
Paid Bereavement/Family Leave
Housing
Maternity & Paternity Leave
Medical, Prescription, Dental, or Vision Plans
Paid Sick Leave
Work from Home
Other
WFH Allowances
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jakarta Pusat 10220, Indonesia
Vacancy
5 openings
Website
https://www.nri.co.id/","Full time","12,000,000","25,000,000"
"","Backend Engineer","Backend Engineer","Backend Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/172749/backend-engineer-2?source=job-board-1-14-15-1588&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Design, develop and build scalable back-end infrastructure levering modern cloud platforms and technologies using Node.JS
Perform issue analysis, root-cause analysis, and issue resolution
Create any required technical documentation
Minimum Qualifications
Requirements:
Strong proficiency with Javascript and/or Typescript
Knowledge of Node.JS and frameworks on the Node.JS ecosystem
Experience working with databases in PostgreSQL
Experience developing and testing RESful APIs
Experience in using Git
Experience in using Cloud Service Providers such as AWS or GCP
Familiarity with Dependency Injection and IoC.
Preferred:
Experience working with NoSQL databases such as MongoDB
Experience working with AWS Services such as DynamoDB, RDS, EC2, ElasticCache and S3.
Experience working with Redis
Experience in using GraphQL
Experience in using MochaJS, Jest or Jasmine
Experience building and maintaining application/ services using Serverless Architecture
Experience developing micro-service(s)
Experience with Continuous Integration and Continuous Delivery (CI/ CD)
Experience in using Docker/ Kubernetes
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Paid Sick Leave
Transportation Allowances
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jl. Jend. Sudirman Kav 86
Vacancy
5 openings
Website
https://www.nri.co.id/","Full time","12,000,000","30,000,000"
"","Scrum Master","Scrum Master","Scrum Master","https://www.kalibrr.id/c/nomura-research-institute/jobs/172752/scrum-master?source=job-board-1-15-15-1588&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
A Scrum Master helps the software development team to deliver the product as scheduled in high-quality with scrum methodology
Manage each project’s scope and timeline
Help product owner to make the product backlogs in good shape and make them ready for the next sprint
Coach team how to follow agile scrum, which really works.
Facilitate daily scrum, sprint planning, sprint demo, and retrospective meetings
Remove the impediments for the scrum team
Interacting with other technology teams and clients throughout the software lifecycle.
Minimum Qualifications
Requirements:
Extensive knowledge of agile methodology and frameworks like scrum, kanban, XP, etc.
Demonstrable experience of Scrum Management
Stakeholder Management, Negotiation & Communication Skills
Familiarity with web-based collaboration tools such as Wrike, Trello, and Confluence
Preferred:
3+ years Scrum Master experience in any well-known software environment
Experience in mobile/ web application development
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Paid Sick Leave
Transportation Allowances
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jl. Jend.Sudirman Kav.86
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","9,000,000","20,000,000"
